YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1950,PRIVATE,85,43.6985850004,-79.3720164996
1950,PRIVATE,85,43.675879096,-79.373384913
1950,PRIVATE,81,43.704214042,-79.373842189
1950,PRIVATE,87,43.6740184548,-79.3778037961
1950,PRIVATE,88,43.728243017,-79.398104988
1950,PRIVATE,84,43.718811663,-79.401166452
1950,PRIVATE,80,43.705683574,-79.402178392
1950,PRIVATE,85,43.699334797,-79.40593461
1950,PRIVATE,73,43.686606905,-79.42001302
1950,PRIVATE,88,43.701892029,-79.420288428
1950,PRIVATE,91,43.740401247,-79.4209043268
1950,PRIVATE,97,43.7414140473,-79.4211970066
1950,PRIVATE,82,43.6846976154,-79.4212142152
1950,PRIVATE,90,43.685885734,-79.4229628704
1950,PRIVATE,93,43.694581164,-79.423543998
1950,PRIVATE,79,43.6528825044,-79.4321278569
1950,PRIVATE,92,43.731057278,-79.4337815
1950,PRIVATE,93,43.730928508,-79.433908943
1950,PRIVATE,87,43.730975673,-79.4363599981
1950,PRIVATE,85,43.736205215,-79.44139433
1951,PRIVATE,84,43.7115823084,-79.307772958
1951,PRIVATE,82,43.7114376749,-79.3078956606
1951,PRIVATE,79,43.711282299,-79.3080213624
1951,PRIVATE,67,43.7111330736,-79.3081363101
1951,PRIVATE,70,43.7109797077,-79.3082535422
1951,PRIVATE,96,43.7091921136,-79.3096855497
1951,PRIVATE,83,43.7089625626,-79.3097891975
1951,PRIVATE,85,43.7092735859,-79.3104170385
1951,PRIVATE,77,43.6576935815,-79.3718742304
1951,PRIVATE,75,43.7238625563,-79.4167257384
1951,PRIVATE,89,43.7030609955,-79.4261250612
1951,PRIVATE,83,43.7425559066,-79.436710293
1951,PRIVATE,51,43.678247289,-79.440459346
1952,PRIVATE,90,43.710464421,-79.289768607
1952,PRIVATE,90,43.710358471,-79.290289103
1952,PRIVATE,76,43.6972925811,-79.3074870563
1952,PRIVATE,76,43.687577379,-79.348481091
1952,PRIVATE,87,43.686670483,-79.374860081
1952,PRIVATE,86,43.688177664,-79.401518522
1952,PRIVATE,82,43.709488115,-79.402619009
1952,PRIVATE,91,43.696978593,-79.404812013
1952,PRIVATE,85,43.69920941,-79.40587277
1952,PRIVATE,95,43.7019615716,-79.4227024565
1952,PRIVATE,76,43.733057329,-79.435090946
1952,PRIVATE,88,43.736611247,-79.439571975
1952,PRIVATE,87,43.736271595,-79.44053564
1953,PRIVATE,66,43.7048505726,-79.2968176488
1953,PRIVATE,84,43.7119832675,-79.307464316
1953,PRIVATE,86,43.7118457801,-79.3075659646
1953,PRIVATE,89,43.7117264202,-79.3076717608
1953,PRIVATE,83,43.703054654,-79.310513888
1953,PRIVATE,96,43.703363564,-79.310527323
1953,PRIVATE,88,43.703301637,-79.310988273
1953,PRIVATE,96,43.6978411603,-79.3717629159
1953,PRIVATE,94,43.6980343959,-79.3718344399
1953,PRIVATE,90,43.705024326,-79.425827726
1953,PRIVATE,83,43.7074440123,-79.4262923027
1953,PRIVATE,91,43.7209195951,-79.432960657
1954,PRIVATE,89,43.7371458262,-79.2565312101
1954,PRIVATE,90,43.7359936436,-79.2687949142
1954,PRIVATE,96,43.6747570284,-79.2771547349
1954,PRIVATE,94,43.6747570284,-79.2771547349
1954,PRIVATE,93,43.6747055108,-79.2773893392
1954,PRIVATE,93,43.6746668318,-79.2776535124
1954,PRIVATE,95,43.6746668318,-79.2776535124
1954,PRIVATE,95,43.6753306295,-79.2779449422
1954,PRIVATE,91,43.687387146,-79.283618564
1954,PRIVATE,89,43.7290082864,-79.3040288132
1954,PRIVATE,77,43.7297667593,-79.3043160261
1954,PRIVATE,81,43.7303493806,-79.3045356684
1954,PRIVATE,83,43.732195062,-79.3052538634
1954,PRIVATE,91,43.7354870834,-79.3066470427
1954,PRIVATE,83,43.7091752019,-79.3105723901
1954,PRIVATE,90,43.6903808073,-79.3529674197
1954,PRIVATE,86,43.714141454,-79.363440204
1954,PRIVATE,78,43.71394552,-79.364462065
1954,PRIVATE,91,43.6964257075,-79.3720363989
1954,PRIVATE,82,43.691392389,-79.392540864
1954,PRIVATE,91,43.7180269,-79.401034541
1954,PRIVATE,96,43.709999677,-79.402480561
1954,PRIVATE,93,43.702931813,-79.415148542
1954,PRIVATE,83,43.689065755,-79.419580207
1954,PRIVATE,81,43.721948279,-79.433346456
1954,PRIVATE,71,43.718310388,-79.435578125
1954,PRIVATE,72,43.743260449,-79.4368250474
